"Parameter","If other","Unit","Type of infectious disease model","Mixing","Study","Pathogen","Variant/Strain","Host","Host type","Host breed","Host Age (group)","Host other characterics","Seeder / Inoculated vaccinated","Contact vaccinated","Vaccine","Value","Lower confidence/credible level","Upper confidence / credible level","Frequentist / Bayesian estimation","Estimation method","Remarks","Reference","doi","Filled in by:"
"Other","movement distance of lorries","15-55km",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","Nigsch et al., 2013","https://doi.org/10.1016/j.prevetmed.2012.11.003","AA"
"Other","movement distance of lorries","55-110km",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","Nigsch et al., 2013","https://doi.org/10.1016/j.prevetmed.2012.11.003","AA"
"Other","movement distance of lorries","110-150km",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","Nigsch et al., 2013","https://doi.org/10.1016/j.prevetmed.2012.11.003","AA"
"Probability of transmission via indirect contact",NA,NA,NA,NA,"Experimental Stable","African Swine Fever","Georgia 2007/1","Pig",NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,"this value provided in Lee et al., 2020 (https://doi.org/10.1111%2Ftbed.13802) with reference of Guinat et al., 2016 (https://doi.org/10.1017%2FS0950268815000862)","Guinat et al., 2016","https://doi.org/10.1017%2FS0950268815000862","AA"
"Transmission parameter","between pen",NA,NA,NA,"Experimental Stable","African Swine Fever","Georgia 2007/1","Pig",NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"Experimental pig-to-pig transmission dynamics for African swine fever virus, Georgia 2007/1 strain","Guinat et al., 2016","https://doi.org/10.1017%2FS0950268815000862","AA"
"Transmission parameter","within pen",NA,NA,NA,"Experimental Stable","African Swine Fever","Georgia 2007/1","Pig",NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,"Experimental pig-to-pig transmission dynamics for African swine fever virus, Georgia 2007/1 strain","Guinat et al., 2016","https://doi.org/10.1017%2FS0950268815000862","AA"
"Probability of transmission via indirect contact","indirect contact on large farms",NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,"A stochastic simulation model of African swine fever transmission in domestic pig farms in the Red River Delta region in Vietnam","Lee et al., 2020","https://doi.org/10.1111%2Ftbed.13802","AA"
"Probability of transmission via direct contact",NA,"βd ~Unif","SEIR",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,NA,1e-04,1,"Bayesian",NA,"Environmental sources of infection can play a primary role in shaping epidemiological dynamics; however, the relative impact of environmental transmission on host‐pathogen systems is rarely estimated. We developed and fit a spatially explicit model of African swine fever virus (African Swine FeverV) in wild boar to estimate what proportion of carcass‐based transmission is contributing to the low‐level persistence of African Swine FeverV in Eastern European wild boar. Our model was developed based on ecological insight and data from field studies of African Swine FeverV and wild boar in Eastern Poland. We predicted that carcass‐based transmission would play a substantial role in persistence, especially in low‐density host populations where contact rates are low. By fitting the model to outbreak data using approximate Bayesian computation, we inferred that between 53% and 66% of transmission events were carcass‐based that is, transmitted through contact of a live host with a contaminated carcass. Model fitting and sensitivity analyses showed that the frequency of carcass‐based transmission increased with decreasing host density, suggesting that management policies should emphasize the removal of carcasses and consider how reductions in host densities may drive carcass‐based transmission.","Pepin et al., 2020","https://doi.org/10.1002%2Fece3.6100","AA"
"Probability of transmission via indirect contact","carcass contact","βc ~Unif","SEIR",NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,NA,1e-04,0.99,"Bayesian",NA,"Environmental sources of infection can play a primary role in shaping epidemiological dynamics; however, the relative impact of environmental transmission on host‐pathogen systems is rarely estimated. We developed and fit a spatially explicit model of African swine fever virus (African Swine FeverV) in wild boar to estimate what proportion of carcass‐based transmission is contributing to the low‐level persistence of African Swine FeverV in Eastern European wild boar. Our model was developed based on ecological insight and data from field studies of African Swine FeverV and wild boar in Eastern Poland. We predicted that carcass‐based transmission would play a substantial role in persistence, especially in low‐density host populations where contact rates are low. By fitting the model to outbreak data using approximate Bayesian computation, we inferred that between 53% and 66% of transmission events were carcass‐based that is, transmitted through contact of a live host with a contaminated carcass. Model fitting and sensitivity analyses showed that the frequency of carcass‐based transmission increased with decreasing host density, suggesting that management policies should emphasize the removal of carcasses and consider how reductions in host densities may drive carcass‐based transmission.","Pepin et al., 2020","https://doi.org/10.1002%2Fece3.6100","AA"
"Transmission parameter",NA,NA,"SLI",NA,"Experimental","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,1.53,0.73,1.47,NA,NA,"A quantitative stochastic environmental transmission model was applied to simulate the change in environmental contamination levels over time and calculate the epidemic parameters through exposure-based estimation. Due to the lack of experimental data on environmental transmission at low temperatures, we performed a non-linear fit of the decay rate parameter with temperature based on a literature review. Eventually, 16 scenarios were constructed for different temperature (at 20 °C, 10 °C, 0 °C, or −10 °C) and duration of empty periods (1, 3, 5, or 7 days) after the environment had been contaminated. We quantified the variation in the contamination level of the environment over time and the probability of newly added recipients getting infected when exposed to the environment after the empty period.","Gao et al., 2023","https://doi.org/10.1016/j.prevetmed.2023.105991","AA"
"Other","decay rate",NA,"SLI",NA,"Experimental","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,1.02,0.73,1.47,NA,NA,"A quantitative stochastic environmental transmission model was applied to simulate the change in environmental contamination levels over time and calculate the epidemic parameters through exposure-based estimation. Due to the lack of experimental data on environmental transmission at low temperatures, we performed a non-linear fit of the decay rate parameter with temperature based on a literature review. Eventually, 16 scenarios were constructed for different temperature (at 20 °C, 10 °C, 0 °C, or −10 °C) and duration of empty periods (1, 3, 5, or 7 days) after the environment had been contaminated. We quantified the variation in the contamination level of the environment over time and the probability of newly added recipients getting infected when exposed to the environment after the empty period.","Gao et al., 2023","https://doi.org/10.1016/j.prevetmed.2023.105991","AA"
"Other","excretion rate",NA,"SLI",NA,"Experimental","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,2.73,2.52,3.08,NA,NA,"A quantitative stochastic environmental transmission model was applied to simulate the change in environmental contamination levels over time and calculate the epidemic parameters through exposure-based estimation. Due to the lack of experimental data on environmental transmission at low temperatures, we performed a non-linear fit of the decay rate parameter with temperature based on a literature review. Eventually, 16 scenarios were constructed for different temperature (at 20 °C, 10 °C, 0 °C, or −10 °C) and duration of empty periods (1, 3, 5, or 7 days) after the environment had been contaminated. We quantified the variation in the contamination level of the environment over time and the probability of newly added recipients getting infected when exposed to the environment after the empty period.","Gao et al., 2023","https://doi.org/10.1016/j.prevetmed.2023.105991","AA"
