"","Parameter","Test Type","Pathogen","Host","Host type","Host breed","Host Age (group)","Host other characterics","study","Type of sample","Value","Lower confidence/credible level","Upper confidence / credible level","Remarks","Reference","doi","Filled in by:"
"43","Sensitivity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.968,0.916,0.993,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"44","Sensitivity","NP-ELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.921,0.86,0.963,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"45","Sensitivity","NP-ELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.932,0.879,0.968,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"46","Specificity","ELISA Ab","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.976,0.952,0.998,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"47","Specificity","ELISA Ab","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.974,0.95,0.997,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"48","Specificity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.646,0.48,0.8,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"49","Specificity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.643,0.48,0.794,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"50","Specificity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.22,0.052,0.524,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"51","Specificity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.216,0.052,0.51,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"52","Specificity","NP-ELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.575,0.422,0.726,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"53","Specificity","NP-ELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.63,0.489,0.999,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","Comin et al., 2012","https://doi.org/10.1111%2Fj.1750-2659.2012.00391.x","AA"
"54","Specificity","RT-PCR","Bluetongue","Ruminants",NA,NA,NA,NA,"Comparative","Serum; blood",0.985,NA,NA,"This paper aims to describe and analyse the results obtained with the diagnostics used in Belgium during the 2006 BT crisis. The diagnosis was based on a combination of antibody detection (competitive ELISA, cELISA) and viral RNA detection by real-time RT-PCR (RT-qPCR).","Vandenbussche et al., 2008","https://doi.org/10.1016/j.vetmic.2007.10.029","AA"
"55","Sensitivity","RT-PCR","Bluetongue","Ruminants",NA,NA,NA,NA,"Comparative","Serum; blood",0.995,NA,NA,"This paper aims to describe and analyse the results obtained with the diagnostics used in Belgium during the 2006 BT crisis. The diagnosis was based on a combination of antibody detection (competitive ELISA, cELISA) and viral RNA detection by real-time RT-PCR (RT-qPCR).","Vandenbussche et al., 2008","https://doi.org/10.1016/j.vetmic.2007.10.029","AA"
"56","Specificity","cELISA","Bluetongue","Ruminants",NA,NA,NA,NA,"Comparative","Serum; blood",0.982,NA,NA,"This paper aims to describe and analyse the results obtained with the diagnostics used in Belgium during the 2006 BT crisis. The diagnosis was based on a combination of antibody detection (competitive ELISA, cELISA) and viral RNA detection by real-time RT-PCR (RT-qPCR).","Vandenbussche et al., 2008","https://doi.org/10.1016/j.vetmic.2007.10.029","AA"
"57","Sensitivity","cELISA","Bluetongue","Ruminants",NA,NA,NA,NA,"Comparative","Serum; blood",0.878,NA,NA,"This paper aims to describe and analyse the results obtained with the diagnostics used in Belgium during the 2006 BT crisis. The diagnosis was based on a combination of antibody detection (competitive ELISA, cELISA) and viral RNA detection by real-time RT-PCR (RT-qPCR).","Vandenbussche et al., 2008","https://doi.org/10.1016/j.vetmic.2007.10.029","AA"
"58","Sensitivity","ELISA","Bluetongue","Cattle",NA,NA,NA,NA,"Comparative","Serum; milk",0.989,NA,NA,"During the bluetongue outbreak in the Netherlands in 2006, caused by BTV serotype 8, coupled serum and milk samples were obtained from 470 individual cows from 10 BTV-infected farms with an average seroprevalence of 57%. In addition, bulk milk samples of the same farms, and historically BT-negative samples were tested.","Kramps et al., 2008","https://doi.org/10.1016/j.vetmic.2008.01.004","AA"
"59","Specificity","ELISA","Bluetongue","Cattle",NA,NA,NA,NA,"Comparative","Serum; milk",0.965,NA,NA,"During the bluetongue outbreak in the Netherlands in 2006, caused by BTV serotype 8, coupled serum and milk samples were obtained from 470 individual cows from 10 BTV-infected farms with an average seroprevalence of 57%. In addition, bulk milk samples of the same farms, and historically BT-negative samples were tested.","Kramps et al., 2008","https://doi.org/10.1016/j.vetmic.2008.01.004","AA"
"60","Sensitivity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.8864,0.8539,0.9223,"The sensitivity of the SICCT test reported in the literature shows a lot of variation and was reported in previous research based on summary values of field trials [1] to be between 52.0% and 100% with median values of 80.0% and 93.5% for standard and severe interpretations, respectively. Research based on meta-analyses in a systematic review of the scientific literature using Bayesian logistic regression models concluded the median sensitivity for the SICCT test (standard interpretation) to be 50% with wide Bayesian credible intervals (CrI) (95% CrI 26–78% (median sensitivity of 63% (95% CrI 40–84%) at severe interpretation) [7]. The same study stated the median sensitivity of routine post-mortem examination at meat inspection to be 71% (95% CrI 37–92%).","O'Hagen et al., 2019","https://doi.org/10.1017%2FS0950268819000888","AA"
"61","Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.9999,0.9997,1,"The specificity of the SICCT test has previously been estimated at over 99.9% [1]. Similar figures were quoted (specificity of 99.98% (95% confidence interval (CI) ±0.004%)) for standard interpretation and for severe interpretation (99.91% (95% CI ±0.013%)) [3]. The previously mentioned study using meta-analyses [7] found a median specificity for the SICCT test of 100% (95% CrI 99–100%) and a similar figure for the median specificity of routine post-mortem examination (100%; 95% CrI 99–100%).","O'Hagen et al., 2019","https://doi.org/10.1017%2FS0950268819000888","AA"
"62","Sensitivity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.9327,0.9015,0.9655,"The sensitivity of the SICCT test reported in the literature shows a lot of variation and was reported in previous research based on summary values of field trials [1] to be between 52.0% and 100% with median values of 80.0% and 93.5% for standard and severe interpretations, respectively. Research based on meta-analyses in a systematic review of the scientific literature using Bayesian logistic regression models concluded the median sensitivity for the SICCT test (standard interpretation) to be 50% with wide Bayesian credible intervals (CrI) (95% CrI 26–78% (median sensitivity of 63% (95% CrI 40–84%) at severe interpretation) [7]. The same study stated the median sensitivity of routine post-mortem examination at meat inspection to be 71% (95% CrI 37–92%).","O'Hagen et al., 2019","https://doi.org/10.1017%2FS0950268819000888","AA"
"63","Specificity","SICCT","Bovine Tuberculosis","Cattle",NA,NA,NA,NA,"Comparative","Skin",0.9999,0.9962,1,"The specificity of the SICCT test has previously been estimated at over 99.9% [1]. Similar figures were quoted (specificity of 99.98% (95% confidence interval (CI) ±0.004%)) for standard interpretation and for severe interpretation (99.91% (95% CI ±0.013%)) [3]. The previously mentioned study using meta-analyses [7] found a median specificity for the SICCT test of 100% (95% CrI 99–100%) and a similar figure for the median specificity of routine post-mortem examination (100%; 95% CrI 99–100%).","O'Hagen et al., 2019","https://doi.org/10.1017%2FS0950268819000888","AA"
