"parameter","test_type","pathogen","host","host_type","host_breed","host_age","host_other","study_type","sample_type","value","lower_cl","upper_cl","remarks","ref","ref_status","ref_last_access","ref_short","year","filled_by","filled_date","value_original","parameter_type","id"
"Specificity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",1,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","10.1038/s41598-020-64003-6","doi_invalid",2026-06-25,"Laconi et al., 2020",2020,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*34"
"Specificity","PCR","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative","Research protocol",1,NA,NA,"a specific workflow was developed to evaluate in silico the complementarity of primers and probes of four published RT-qPCR protocols to their target regions. The four assays and one commercially available kit for AIV detection were evaluated both for their analytical sensitivity using eight different viral dilution panels and for their diagnostic performances against clinical specimens of known infectious status. Differences were observed among the tests under evaluation, both in terms of analytical sensitivity and of diagnostic performances. This finding confirms the importance of continuously monitoring the primers and probes complementarity to their binding regions.","10.1038/s41598-020-64003-6","doi_invalid",2026-06-25,"Laconi et al., 2020",2020,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*35"
"Sensitivity","ELISA Ab","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative",NA,0.97,NA,NA,"Sera (n = 1055) from 74 commercial chicken flocks were tested by both methods. A Bayesian approach served to estimate diagnostic test sensitivities and specificities, without assuming any ‘gold standard’. Sensitivity and specificity of the ELISA was 97% and 99.8%, and for H5/H7 HI 43% and 99.8%, respectively, although H5/H7 HI sensitivity varied considerably between infected flocks. ELISA therefore provides superior sensitivity for the screening of chicken flocks as part of an algorithm, which subsequently utilises H5/H7 HI to identify infection by these two subtypes. With the calculated sensitivity and specificity, testing nine sera per flock is sufficient to detect a flock seroprevalence of 30% with 95% probability.","10.1017/s0950268817002898","doi_invalid",2026-06-25,"Arnold et al., 2018",2018,"Alistair Antonopoulos",2025-08-28,0.97,"DiagnosticTest","DiagnosticTest*36"
"Specificity","ELISA Ab","Avian Influenza","Poultry",NA,NA,NA,NA,"Comparative",NA,0.998,NA,NA,"Sera (n = 1055) from 74 commercial chicken flocks were tested by both methods. A Bayesian approach served to estimate diagnostic test sensitivities and specificities, without assuming any ‘gold standard’. Sensitivity and specificity of the ELISA was 97% and 99.8%, and for H5/H7 HI 43% and 99.8%, respectively, although H5/H7 HI sensitivity varied considerably between infected flocks. ELISA therefore provides superior sensitivity for the screening of chicken flocks as part of an algorithm, which subsequently utilises H5/H7 HI to identify infection by these two subtypes. With the calculated sensitivity and specificity, testing nine sera per flock is sufficient to detect a flock seroprevalence of 30% with 95% probability.","10.1017/s0950268817002898","doi_invalid",2026-06-25,"Arnold et al., 2018",2018,"Alistair Antonopoulos",2025-08-28,0.998,"DiagnosticTest","DiagnosticTest*37"
"Sensitivity","ELISA Ab","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.993,0.98,1,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.993,"DiagnosticTest","DiagnosticTest*38"
"Sensitivity","ELISA Ab","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.993,0.979,1,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.993,"DiagnosticTest","DiagnosticTest*39"
"Sensitivity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.708,0.628,0.78,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.708,"DiagnosticTest","DiagnosticTest*40"
"Sensitivity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.707,0.627,0.78,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.707,"DiagnosticTest","DiagnosticTest*41"
"Sensitivity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.968,0.916,0.993,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.968,"DiagnosticTest","DiagnosticTest*42"
"Sensitivity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.968,0.916,0.993,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.968,"DiagnosticTest","DiagnosticTest*43"
"Sensitivity","NP-ELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.921,0.86,0.963,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.921,"DiagnosticTest","DiagnosticTest*44"
"Sensitivity","NP-ELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.932,0.879,0.968,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.932,"DiagnosticTest","DiagnosticTest*45"
"Specificity","ELISA Ab","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.976,0.952,0.998,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.976,"DiagnosticTest","DiagnosticTest*46"
"Specificity","ELISA Ab","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.974,0.95,0.997,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.974,"DiagnosticTest","DiagnosticTest*47"
"Specificity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.646,0.48,0.8,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.646,"DiagnosticTest","DiagnosticTest*48"
"Specificity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.643,0.48,0.794,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.643,"DiagnosticTest","DiagnosticTest*49"
"Specificity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.22,0.052,0.524,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.22,"DiagnosticTest","DiagnosticTest*50"
"Specificity","cELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.216,0.052,0.51,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.216,"DiagnosticTest","DiagnosticTest*51"
"Specificity","NP-ELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.575,0.422,0.726,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.575,"DiagnosticTest","DiagnosticTest*52"
"Specificity","NP-ELISA","Avian Influenza","Poultry",NA,NA,NA,NA,"Descriptive Review",NA,0.63,0.489,0.999,"The objective of this study was to estimate the diagnostic sensitivity (Se) and specificity (Sp) of the HI test and six other diagnostic assays for the detection of AI antibodies without assuming a gold standard.","10.1111/j.1750-2659.2012.00391.x","doi_invalid",2026-06-25,"Comin et al., 2012",2012,"Alistair Antonopoulos",2025-08-28,0.63,"DiagnosticTest","DiagnosticTest*53"
"Specificity","RT-PCR","Bluetongue","Ruminants",NA,NA,NA,NA,"Comparative","Serum; blood",0.985,NA,NA,"This paper aims to describe and analyse the results obtained with the diagnostics used in Belgium during the 2006 BT crisis. The diagnosis was based on a combination of antibody detection (competitive ELISA, cELISA) and viral RNA detection by real-time RT-PCR (RT-qPCR).","10.1016/j.vetmic.2007.10.029","doi_invalid",2026-06-25,"Vandenbussche et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.985,"DiagnosticTest","DiagnosticTest*54"
