"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref","ref_short","year","filled_by","parameter_type","id","scale","inoculated_contact","material","test_type","sample_type","time_period","country","sampling_purpose","info_level","plan_implemented","plan_voluntary_compulsary","plan_coverage","country_disease_status","plan_type","last_updated"
"Probability of transmission via indirect contact","Transport lorries",NA,NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.011,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","10.1016/j.prevetmed.2012.11.003","Nigsch et al., 2013",2013,"AA","Transmission","Transmission_42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probability of transmission via indirect contact","Professional contacts",NA,NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","10.1016/j.prevetmed.2012.11.003","Nigsch et al., 2013",2013,"AA","Transmission","Transmission_43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probability of transmission via indirect contact","Pig movements",NA,NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.0647,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","10.1016/j.prevetmed.2012.11.003","Nigsch et al., 2013",2013,"AA","Transmission","Transmission_44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other","movement distance of professional contact","0-10km",NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.72,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","10.1016/j.prevetmed.2012.11.003","Nigsch et al., 2013",2013,"AA","Transmission","Transmission_45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other","movement distance of professional contact","10-20km",NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","10.1016/j.prevetmed.2012.11.003","Nigsch et al., 2013",2013,"AA","Transmission","Transmission_46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other","movement distance of professional contact","20-30km",NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","10.1016/j.prevetmed.2012.11.003","Nigsch et al., 2013",2013,"AA","Transmission","Transmission_47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other","movement distance of professional contact","30-100km",NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","10.1016/j.prevetmed.2012.11.003","Nigsch et al., 2013",2013,"AA","Transmission","Transmission_48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other","movement distance of lorries","0-15km",NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","10.1016/j.prevetmed.2012.11.003","Nigsch et al., 2013",2013,"AA","Transmission","Transmission_49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other","movement distance of lorries","15-55km",NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","10.1016/j.prevetmed.2012.11.003","Nigsch et al., 2013",2013,"AA","Transmission","Transmission_50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other","movement distance of lorries","55-110km",NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","10.1016/j.prevetmed.2012.11.003","Nigsch et al., 2013",2013,"AA","Transmission","Transmission_51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other","movement distance of lorries","110-150km",NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,"A stochastic spatio-temporal state-transition model using simulated individual farm records was developed to assess silent African Swine Fever virus spread during different predefined HRPs of 10–60 days duration. Infection was seeded into farms of different pig production types in each of the 27 MS. Direct pig-to-pig transmission and indirect transmission routes (pig transport lorries and professional contacts) were considered the main pathways during the early stages of an epidemic. The model was parameterised using data collated from EUROSTAT, TRACES, a questionnaire sent to MS, and the scientific literature.","10.1016/j.prevetmed.2012.11.003","Nigsch et al., 2013",2013,"AA","Transmission","Transmission_52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probability of transmission via indirect contact",NA,NA,NA,NA,NA,"Experimental Stable","African Swine Fever","Georgia 2007/1","Pig",NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,"this value provided in Lee et al., 2020 (https://doi.org/10.1111%2Ftbed.13802) with reference of Guinat et al., 2016 (https://doi.org/10.1017%2FS0950268815000862)","10.1017/s0950268815000862","GUINAT et al., 2015",2015,"AA","Transmission","Transmission_53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter","between pen",NA,NA,NA,NA,"Experimental Stable","African Swine Fever","Georgia 2007/1","Pig",NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,"Experimental pig-to-pig transmission dynamics for African swine fever virus, Georgia 2007/1 strain","10.1017/s0950268815000862","GUINAT et al., 2015",2015,"AA","Transmission","Transmission_54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Transmission parameter","within pen",NA,NA,NA,NA,"Experimental Stable","African Swine Fever","Georgia 2007/1","Pig",NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,"Experimental pig-to-pig transmission dynamics for African swine fever virus, Georgia 2007/1 strain","10.1017/s0950268815000862","GUINAT et al., 2015",2015,"AA","Transmission","Transmission_55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probability of transmission via indirect contact","indirect contact on large farms",NA,NA,NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,"A stochastic simulation model of African swine fever transmission in domestic pig farms in the Red River Delta region in Vietnam","10.1111/tbed.13802","Lee et al., 2020",2020,"AA","Transmission","Transmission_56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probability of transmission via direct contact",NA,"βd ~Unif","SEIR",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,NA,1e-04,1,"Bayesian",NA,"Environmental sources of infection can play a primary role in shaping epidemiological dynamics; however, the relative impact of environmental transmission on host‐pathogen systems is rarely estimated. We developed and fit a spatially explicit model of African swine fever virus (African Swine FeverV) in wild boar to estimate what proportion of carcass‐based transmission is contributing to the low‐level persistence of African Swine FeverV in Eastern European wild boar. Our model was developed based on ecological insight and data from field studies of African Swine FeverV and wild boar in Eastern Poland. We predicted that carcass‐based transmission would play a substantial role in persistence, especially in low‐density host populations where contact rates are low. By fitting the model to outbreak data using approximate Bayesian computation, we inferred that between 53% and 66% of transmission events were carcass‐based that is, transmitted through contact of a live host with a contaminated carcass. Model fitting and sensitivity analyses showed that the frequency of carcass‐based transmission increased with decreasing host density, suggesting that management policies should emphasize the removal of carcasses and consider how reductions in host densities may drive carcass‐based transmission.","10.1002/ece3.6100","Pepin et al., 2020",2020,"AA","Transmission","Transmission_57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Probability of transmission via indirect contact","carcass contact","βc ~Unif","SEIR",NA,NA,"Observational","African Swine Fever",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,NA,1e-04,0.99,"Bayesian",NA,"Environmental sources of infection can play a primary role in shaping epidemiological dynamics; however, the relative impact of environmental transmission on host‐pathogen systems is rarely estimated. We developed and fit a spatially explicit model of African swine fever virus (African Swine FeverV) in wild boar to estimate what proportion of carcass‐based transmission is contributing to the low‐level persistence of African Swine FeverV in Eastern European wild boar. Our model was developed based on ecological insight and data from field studies of African Swine FeverV and wild boar in Eastern Poland. We predicted that carcass‐based transmission would play a substantial role in persistence, especially in low‐density host populations where contact rates are low. By fitting the model to outbreak data using approximate Bayesian computation, we inferred that between 53% and 66% of transmission events were carcass‐based that is, transmitted through contact of a live host with a contaminated carcass. Model fitting and sensitivity analyses showed that the frequency of carcass‐based transmission increased with decreasing host density, suggesting that management policies should emphasize the removal of carcasses and consider how reductions in host densities may drive carcass‐based transmission.","10.1002/ece3.6100","Pepin et al., 2020",2020,"AA","Transmission","Transmission_58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
